"Variables","Accuracy","Kappa","AccuracySD","KappaSD"
1,0.673644302747603,0,0.000165336507890194,0
3,0.821236904872062,0.593129190344233,0.00771491943710385,0.0225005018401649
5,0.866211193866811,0.704281396658662,0.00720130532028652,0.0162579831620934
7,0.894349863812627,0.765108645803747,0.00212466330032714,0.00455804129050899
9,0.905726601400193,0.789602509601013,0.00347930133696042,0.00725475296359717
11,0.901251473965366,0.779721229662579,0.00321124155734078,0.00795485957752261
13,0.895335631506964,0.76647791820906,0.00667634935280192,0.0157140167145759
15,0.889874736465055,0.754076887539689,0.00391390693540459,0.00880982213207584
17,0.890405441610102,0.754997639154306,0.00497451947302513,0.0116938325213935
19,0.888433561128434,0.750565240320706,0.00379589006159798,0.00906722987063734
21,0.887144217046092,0.747630398725281,0.00386376093953505,0.00947189291846015
23,0.886385923114536,0.746329892472518,0.0043326895122288,0.0102237047570036
