"Variables","Accuracy","Kappa","AccuracySD","KappaSD"
1,0.839038407026345,0.678038857511002,0.00445730882702102,0.0088775483153785
3,0.870980217033425,0.741745612729524,0.00540360586974715,0.0107221397385396
5,0.785123394835471,0.570931584265558,0.00588639501223684,0.0117318165566989
7,0.903015943197355,0.806079753052657,0.011152533982845,0.0223107421729876
9,0.921384282000984,0.842790127910638,0.00322157156312711,0.00645454768509541
11,0.924832307315163,0.849678842071074,0.00251629251143136,0.0050326075420969
13,0.927904132517235,0.855840439431068,0.00186787620049357,0.00374752413745964
15,0.92849972906439,0.857052167291181,0.00157175205857166,0.00313252621689299
17,0.928625155302846,0.857293023653807,0.00129597642069775,0.00260024951283938
19,0.925490526096528,0.851030290446946,0.00204705488652163,0.00410007798391484
21,0.925929353355549,0.851903256601946,0.00221498044969926,0.00443802232866005
23,0.925992049280313,0.852036127210587,0.00143291852255863,0.0028665354199901
