"Variables","Accuracy","Kappa","AccuracySD","KappaSD"
1,0.842466718973477,0.64984005998359,0.0261388648648884,0.0548982757954809
3,0.893469605669214,0.762490293262576,0.0149528397526527,0.0273892042782011
5,0.912741173316688,0.789817639903993,0.0167308508084019,0.0418449752807642
7,0.931441303610843,0.835407967197554,0.0088628104292734,0.0205193242472198
9,0.937673652790448,0.849963758714059,0.0115274374282536,0.0255780797528185
11,0.934843983480069,0.843743111308195,0.0106003995229216,0.0229898748655727
13,0.937678472437439,0.849906763391917,0.0111438182274307,0.0252139519226949
15,0.939366931183443,0.853174544158713,0.0152584702315084,0.0370472840131623
17,0.936538880546959,0.846531398688617,0.0127971918593718,0.031431875860452
19,0.935969089148556,0.845364712821561,0.0158968246286948,0.0384247030939604
21,0.935972317402672,0.8458163069942,0.0156186052657132,0.0370955548912656
