"Variables","Accuracy","Kappa","AccuracySD","KappaSD"
1,0.819611876098744,0.634193504040058,0.00601345791896826,0.0115244554701245
3,0.843063989944603,0.683541745569568,0.00635920776000196,0.0127979202554595
5,0.938146280842877,0.87553612850682,0.0021433071670474,0.00427029673500602
7,0.940696307574519,0.8807047587419,0.00386133883888378,0.00771975512692448
9,0.943672016246741,0.886730471287358,0.00413947634112862,0.00829234314681627
11,0.942751060363876,0.884848445220022,0.00351095640484397,0.00703121201674449
13,0.941688386195095,0.882700920257439,0.00333456854701561,0.00668966874699718
15,0.939845872031214,0.878996998173774,0.00563481000187088,0.0113198952840899
17,0.942467749193127,0.884314893183136,0.00402569958085409,0.00807986023901221
19,0.941192284104255,0.881737828879283,0.00473982269875268,0.00951555073575677
