"Variables","Accuracy","Kappa","AccuracySD","KappaSD"
1,0.681677101210066,0.336419749046727,0.0640566711369796,0.160886960966724
3,0.808126785478731,0.620708950030848,0.000753437776168628,0.00141769747113591
5,0.912136521707066,0.823371248805939,0.0120345956348392,0.0231497824220534
7,0.909082181783707,0.816883857177145,0.00944251168911931,0.0186769655513144
9,0.931034727932292,0.860590947406298,0.000660122328729957,0.00131501268828471
11,0.934721937590526,0.867944695379349,0.00296506920462298,0.00596201078072367
13,0.934042796769618,0.866535465069952,0.00133320878855313,0.00266346524238585
15,0.931283619792047,0.860951747064671,0.00106328359421993,0.00214630733847414
17,0.93172807940739,0.861894660174588,0.000709964638440412,0.00141598365180689
19,0.930583158533321,0.859596374594468,0.00102387830120399,0.00207030796822533
21,0.930501378543131,0.859462816214767,0.0011332588843497,0.00228169723142775
23,0.929399129203123,0.857299686370354,0.00112757220573299,0.00227970058210949
