"Variables","Accuracy","Kappa","AccuracySD","KappaSD"
1,0.772565727890412,0.532883179510133,0.00214206638108099,0.00459459484313407
3,0.768555336768548,0.506670394662905,0.00271773766284961,0.00633823767934785
5,0.896792043479638,0.793835406405428,0.0347372661341555,0.0681487712875637
7,0.936194145648706,0.871598998404488,0.00142868660421142,0.00285322474512496
9,0.955553731739563,0.910166572432764,0.00112726793632387,0.00226156403865617
11,0.95084126264352,0.900784466242488,0.0014752299121798,0.00295086434710918
13,0.944917018006373,0.888926479096464,0.00131330996207667,0.0026430714989719
15,0.940666181349092,0.880380936321593,0.00211616268752789,0.00421494822054783
17,0.936833694605676,0.872668592538695,0.00132204118055499,0.00263594474725107
19,0.936439388008254,0.871870185751277,0.000886034274321987,0.00176659729347848
21,0.934751556258364,0.868507134256258,0.000766078424991991,0.00153687271534049
