sustainer,gender,client_state_rank,all_state_rank,client_zip_rank,all_zip_rank,age,account_id,gift_date,gift_min_t12m,gift_max_t12m,gift_avg_t12m,gift_count_t12m,promo_count_t12m,cons_month_t12m,dm_t12m,tm_t12m,wm_t12m,digital_t12m,f2f_t12m,events_t12m,drtv_t12m,other_t12m,no_channel_t12m,member_t12m,gift_min_lt,gift_max_lt,gift_avg_lt,gift_count_lt,promo_count_lt,cons_month_lt
0,0,36,29,3553,34364,0.0,1030075C,2020-03-23,1.0,2.0,1.5,2,2,2,1,0,0,0,0,0,0,0,0,0,1.0,2.0,1.5,2,2,2
0,0,42,31,2594,35599,0.0,1075779C,2020-03-23,2.0,2.0,2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,2.0,2.0,2.0,1,1,1
0,0,42,31,1394,29773,0.0,1090840C,2020-06-12,2.0,2.0,2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,2.0,2.0,2.0,1,1,1
0,0,42,31,581,28865,0.0,1155437C,2020-11-02,2.0,2.0,2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,2.0,2.0,2.0,1,1,1
0,0,42,31,3862,36077,0.0,1009280C,2019-03-27,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1,1,1
0,0,36,29,3553,34364,0.0,1030075C,2020-02-14,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1,1,1
0,0,51,50,3580,36312,0.0,1055494C,2019-10-23,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1,1,1
1,1,30,40,2707,34111,0.0,970248C,2019-01-25,50.0,90.0,70.0,2,2,1,1,0,0,0,0,0,0,0,0,0,25.0,90.0,52.0,5,5,1
0,0,49,45,3773,34177,0.0,1151486C,2019-10-23,90.0,90.0,90.0,1,1,1,1,0,0,0,0,0,0,0,0,0,10.0,90.0,38.13,32,25,2
1,0,40,39,3306,37300,0.0,1177863C,2023-04-13,15.0,15.0,15.0,1,1,1,1,0,0,0,0,0,0,0,0,0,10.0,90.0,32.67,15,12,2
0,0,51,50,4628,37329,0.0,661032C,2022-02-15,35.0,52.0,43.5,2,2,1,1,0,0,0,0,0,0,0,0,0,20.0,52.0,35.67,3,3,1
0,0,31,21,4361,36238,0.0,960312C,2021-12-06,52.0,52.0,52.0,1,1,1,1,0,0,0,0,0,0,0,0,0,35.0,52.0,40.67,3,3,1
0,0,29,28,904,32501,0.0,1113791C,2024-06-17,52.0,52.0,52.0,1,1,1,1,0,0,0,0,0,0,0,0,0,20.0,52.0,37.0,6,6,2
0,1,35,38,3256,33751,0.0,1150416C,2022-03-09,25.0,25.0,25.0,2,2,1,1,0,0,0,0,0,0,0,0,0,25.0,33.0,26.6,5,4,2
0,0,31,21,4361,36238,0.0,960312C,2024-02-06,104.0,104.0,104.0,1,1,1,1,0,0,0,0,0,0,0,0,0,35.0,104.0,56.5,4,4,1
1,0,33,41,3042,35869,0.0,434550C,2019-01-09,15.0,85.0,50.0,3,3,1,1,0,0,0,0,0,0,0,0,0,15.0,85.0,41.61,31,31,2
1,0,33,41,3042,35869,0.0,434550C,2019-02-04,15.0,85.0,41.25,4,4,2,1,0,0,0,0,0,0,0,0,0,15.0,85.0,40.78,32,32,2
0,0,49,45,3783,34809,0.0,659212C,2024-03-22,50.0,50.0,50.0,1,1,1,1,0,0,0,0,0,0,0,0,0,20.0,85.0,46.11,9,9,2
0,0,49,45,3783,34809,0.0,659212C,2019-02-14,50.0,55.0,52.5,2,2,1,1,0,0,0,0,0,0,0,0,0,25.0,85.0,54.17,6,6,2
1,0,38,33,4472,37230,0.0,670046C,2021-11-15,50.0,85.0,73.33,3,3,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,68.57,7,7,1
1,0,38,33,4472,37230,0.0,670046C,2022-11-24,50.0,85.0,67.5,2,2,1,1,0,0,1,0,0,0,0,0,0,35.0,85.0,68.33,9,9,1
1,0,38,33,4472,37230,0.0,670046C,2020-12-07,50.0,85.0,67.5,2,2,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,62.0,5,5,1
1,0,38,33,4472,37230,0.0,670046C,2019-03-18,35.0,85.0,58.33,3,3,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,58.33,3,3,1
1,0,38,33,4472,37230,0.0,670046C,2020-10-13,85.0,85.0,85.0,1,1,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,65.0,4,4,1
1,0,38,33,4472,37230,0.0,670046C,2022-04-05,85.0,85.0,85.0,3,3,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,70.63,8,8,1
1,0,38,33,4472,37230,0.0,670046C,2021-04-05,50.0,85.0,73.33,3,3,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,65.83,6,6,1
0,0,51,50,2368,36117,0.0,782535C,2020-06-22,35.0,35.0,35.0,1,1,1,1,0,0,0,0,0,0,0,0,0,25.0,85.0,57.22,9,9,1
1,0,50,49,2643,36195,0.0,825120C,2022-04-21,25.0,85.0,45.0,3,2,1,1,0,0,0,0,0,0,0,0,0,10.0,85.0,27.35,17,16,6
1,0,50,49,2643,36195,0.0,825120C,2022-04-21,25.0,85.0,45.0,3,2,1,1,0,0,0,0,0,0,0,0,0,10.0,85.0,27.35,17,16,6
